"fold_id","district","district_old","pca","orig_area","district_perim","parts","circle_perim","circle_area","hull_perim","hull_area","reock","hull","grofman","polsby","corners","xvar","yvar","sym_x","sym_y","points","var_xcoord","var_ycoord","avgline","varline","boyce","lenwid"
"set1.11","18_L_094_2010","18_0_094",81.3725490196078,43681053.4171,45881.1801011,1,42399.9890652,139489896.549,31655.2640678,66129943.264,0.313148511094893,0.660533659354872,6.94205464793875,0.260755698259398,33,140.027,127.394,0.646925810909,0.487529916931,84,0.00148183171107789,0.000606380994845759,0.00580873290948211,2.15347074010895e-05,0.316392146970817,1.52267815725887
"set1.12","19_L_014_2010","19_0_014",31.3725490196078,51951263.3107,41003.7726911,1,36949.4925645,105026526.511,30810.9941064,66031728.3945,0.49464897142208,0.786762130476463,5.68886674256292,0.388291910097703,38,175.272,133.766,0.123457229967,0.339250332957,116,0.00143900752019026,0.000556446787959446,0.00388889585440639,2.8055289752958e-05,0.233066240789451,1.52750615449921
"set1.13","19_L_036_2010","19_0_036",30.3921568627451,21002997.589,24293.0671949,1,23147.6466787,41348246.8406,19452.5806985,26148295.971,0.507953763311123,0.803226245117218,5.30080355959772,0.447225381977679,25,128.141,134.235,0.157125101571,0.312352021206,68,0.000475098827451755,0.000314765228210235,0.00383643236322188,9.65561057792994e-06,0.184609209369672,1.22796334419792
"set1.14","20_L_110_2010","20_0_110",58.8235294117647,8782754123.02,581875.337178,1,502035.463443,19579645767.1,433673.794242,11527416762.7,0.448565527052476,0.761901326534746,6.20889889146245,0.32597229393699,23,85.4919,133.862,0.396422755775,0.372264734953,269,0.132737570492232,0.200023808556519,0.0220842363698086,0.000688064843288948,0.302061350547792,0.875292934429859
"set1.15","20_L_122_2010","20_0_122",35.2941176470588,10328710114,585883.39455,1,555667.078407,24062769548.3,465460.981065,14408270381.5,0.429240287293933,0.716859820125385,5.76485176914949,0.378123417471341,67,151.446,122.28,0.382746249376,0.327957314597,127,0.321639362704106,0.164659080122106,0.0450066116571568,0.00442797706490651,0.22913736777023,1.30657330001852
"set1.16","20_U_033_2010","20_1_033",47.0588235294118,22147834442.3,814272.068287,1,926147.240661,66839842301.6,691842.166517,28651877058.4,0.331356772841605,0.772997678202965,5.47146850110648,0.419760972441881,21,189.934,106.576,0.383760342775,0.438482353207,207,0.782327912944961,0.239283492617179,0.0415251249066524,0.00162114496253884,0.288405011019239,2.17597479828905
"set1.17","20_U_039_2010","20_1_039",24.5098039215686,20613893357.8,699790.130994,1,714545.585164,39824813096.1,611785.753604,24622484535,0.517614315177256,0.83719794111346,4.87402554409234,0.528973921967387,11,116.017,147.024,0.229686994574,0.145867960558,195,0.390758836572071,0.370436386047223,0.0364140963360334,0.00177811501226629,0.16740985870411,1.0653960062089
"set1.18","21_L_071_2010","21_0_071",71.5686274509804,2362859162.19,455588.854389,1,259162.236306,5236861060.89,225100.156101,3467820342.74,0.451197603815831,0.681367236090164,9.3724724541575,0.143054498309726,100,95.2541,108.166,0.175621545152,0.443776904836,1625,0.0465268708409619,0.0392936628133967,0.00287552799403643,1.21575513240121e-05,0.252970836543393,1.12332005820692
"set1.19","21_L_086_2010","21_0_086",26.4705882352941,1188422224.41,244777.844209,1,179012.897548,2504409812.85,147779.945929,1452118678.56,0.47453185110211,0.818405714323918,7.1004638904337,0.2492507178216,91,119.392,100.914,0.207095664281,0.314847342288,837,0.0285949084188829,0.0131333878582149,0.00294629841959514,1.32808903957626e-05,0.184233224905748,1.21618279193621
"set1.20","22_L_053_2010","22_0_053",69.6078431372549,1129852543.33,331721.241618,4,232213.387757,4263289740.93,208015.350604,2778966450.68,0.265018943583115,0.406572933996209,9.86875570653307,0.129028327260619,73,91.9368,125.798,0.316956652937,0.370425585811,9,0.00258863982507095,0.000195779220021826,0.0332853800688445,0.000295283887185106,0.344252178012471,3.50954587413046
"set1.21","22_U_026_2010","22_1_026",61.7647058823529,4030001617.01,497153.760826,1,338765.52723,9066882475.85,296003.60118,5879212245.98,0.444474892858054,0.685466257790842,7.8313767765473,0.204896068939633,60,84.7,117.922,0.308833884184,0.71451150492,817,0.0434121789852603,0.0433366138584311,0.00592679317750838,0.000163499547520527,0.384470455799457,0.817327021901028
"set1.22","23_L_032_2010","23_0_032",84.3137254901961,577347960.331,465280.241231,32,188044.107983,2696378786.21,132537.716512,1070512181.57,0.214119753234861,0.539319374660705,19.3640320184363,0.0335133837775238,100,83.2163,124.284,0.289375580000354,0.322452722781492,6,4.58782083400036e-06,5.28989014561978e-07,0.00214996074864408,2.10792640070335e-06,0.115635835569573,2.40526349666365
"set1.23","23_U_005_2010","23_1_005",52.9411764705882,301403914.603,101716.446883,1,98732.9332854,746984016.537,79551.9666397,406011402.15,0.403494462974324,0.742353325564111,5.85890878736819,0.36608032662458,31,112.987,95.3019,0.266706707005,0.413348270812,156,0.00724125435659123,0.00520745973110125,0.00701489835742608,9.76143118436256e-05,0.274259997431715,1.10338244902186
"set1.24","23_U_019_2010","23_1_019",57.843137254902,779188529.195,523779.244685,39,151168.759782,1748545892.79,135174.926246,1118103288.61,0.445620862688206,0.696884211979798,18.7640685044532,0.0356907639826248,99,60.7809,90.5793,0.243532821886751,0.275195329577311,10,5.86961503766025e-07,6.11727383184712e-07,0.000841946402465928,1.68227171987305e-07,0.261679156601021,0.994056613172637
"set1.25","23_U_ZZZ_2010","23_1_ZZZ",100,671174179.7,5101767.10984,703,1255738.31662,120649730811,792233.500636,20113807679.7,0.00556299773889597,0.0333688275431502,196.925977234531,0.00032404389624015,100,82.7784,87.1551,0.377566502030661,0.224101183272303,11,2.55764216123528e-06,7.02169635822292e-06,0.00214610740184135,1.21404367347762e-06,0.463998587161834,0.578970864797104
"set1.26","24_L_017_2010","24_0_017",75.4901960784314,69385979.8847,60858.3873272,1,52116.5913263,211178265.654,38930.3034351,97071489.8601,0.328565914062311,0.714792571791156,7.30608258452831,0.235418566068651,69,116.076,108.96,0.774556443581,0.773548304698,293,0.00176693215999659,0.00123100698664037,0.00213730023310214,3.15416811354643e-06,0.355127450839209,1.25976832146792
"set1.27","25_L_136_2010","25_0_136",50.9803921568627,67822571.5219,49827.6607179,1,54539.9888379,228795460.505,38743.7665996,93298163.1919,0.29643320445345,0.726944338468908,6.0503900407661,0.343275745497314,29,128.153,105.375,0.411786196878,0.429752111385,99,0.00182167885731742,0.00105866228105211,0.00538192399536807,2.51659814226179e-05,0.332820841594146,1.69693743010316
"set1.28","25_L_143_2010","25_0_143",78.4313725490196,6838121.36422,17964.9308339,1,14102.0897235,15306811.5257,12257.4451416,10095936.6568,0.446737150499231,0.677314210327802,6.87000648870691,0.26625364963691,37,88.7577,101.238,0.464654413508,0.862928949096,87,0.000133353269124606,0.000106694567068131,0.00223311578203361,2.92879147850253e-06,0.289227613120326,1.07473588183811
"set1.29","25_L_190_2010","25_0_190",83.3333333333333,4617647.7572,19467.3061122,1,14069.9678878,15239747.7653,11357.2611303,8089446.42603,0.303000274565837,0.570823702143754,9.05931701784551,0.153115426757862,57,78.4814,103.97,0.195639034999,0.100216741359,126,8.19480536655419e-05,0.000134146240309347,0.00164175335525378,1.03914892798644e-06,0.330502670709943,0.886217172104487
"set1.30","25_L_198_2010","25_0_198",79.4117647058823,8976744.02637,22112.4116887,1,20409.1912642,32068238.34,15713.4865098,12895159.6121,0.279926322462589,0.696132835606532,7.38034545958484,0.2307047213825,32,45.2168,133.28,0.239122869611,0.976013476153,105,0.000165261343822759,0.000302337558654715,0.00221231924628628,3.24026541789563e-06,0.431721852459004,0.820799640552119
"set1.31","25_U_035_2010","25_1_035",86.2745098039216,288631242.366,126331.730445,1,116109.442948,1038990066.41,86583.1614024,470750894.452,0.27779980935073,0.613129461393791,7.43602387711347,0.227262778889065,52,115.428,87.7975,0.54256752836,0.293529911181,205,0.0108503727804257,0.00285260940335123,0.00656289603400608,3.74928014786964e-05,0.352774983314721,1.55230679450892
"set1.32","26_L_036_2010","26_0_036",2.94117647058824,260079835.276,87229.4374042,1,88486.9937566,601850801.742,76067.4332427,279330331.122,0.43213340336712,0.931083403049445,5.40890969560021,0.429526934553533,15,45.3561,136.751,0.15981940473,0.470010053045,101,0.00209941688646798,0.00801398297787568,0.00864632295973154,8.37176756894315e-05,0.325211999753796,0.476479690364146
"set1.33","26_L_038_2010","26_0_038",22.5490196078431,181899159.841,73268.7492599,1,76487.3696989,450141036.552,60077.7458552,223091092.16,0.404093706351047,0.815358238107251,5.43254623745212,0.425797396128445,23,123.733,105.268,0.189195870832,0.420937338672,95,0.00646524390707354,0.0017024630025447,0.00834592283323951,8.57232268063774e-05,0.399052678331155,1.8577348480236
"set1.34","26_L_081_2010","26_0_081",95.0980392156863,1211205691.55,308111.850793,1,222783.713389,3813440720.82,195638.141056,2379385624.12,0.317614925790575,0.509041358942377,8.85318320109852,0.160328585666766,35,74.4628,132.397,0.753842681444,0.65846281238,264,0.0242822691809465,0.0331034815271549,0.0121286889674937,0.000204491570461408,0.358657176922278,0.851809102226522
"set1.35","27_L_06B_2010","27_0_06B",6.86274509803922,4589920257.02,328240.239722,1,339132.588392,8659726446.85,289929.646885,5180935681.38,0.53003062916492,0.885924964001372,4.84494945850075,0.53534205553695,19,85.1309,162.735,0.299941938156,0.127775495328,170,0.0819477661369638,0.108825669609124,0.02039801118677,0.000733245227175196,0.148774869094412,0.796298762750109
"set1.36","27_L_12B_2010","27_0_12B",11.7647058823529,3247875066.76,287258.988801,1,328338.741192,8186552249.42,249309.340001,3848964847.09,0.396732955193697,0.843830794977394,5.04050406968117,0.494608897463365,22,218.737,146.17,0.219906052781,0.482244975744,217,0.164263994683441,0.0276979725184324,0.0149529878164236,0.000418871715241996,0.224362807785977,1.91516183863521
"set1.37","27_L_43A_2010","27_0_43A",87.2549019607843,49760411.2487,52299.3816428,1,55650.7258915,235868693.456,37892.0511362,76316453.9932,0.210966578563689,0.652027297457161,7.41403400422948,0.228612891615075,44,130.867,120.826,0.566516426239,0.564298533291,115,0.00199665805645215,0.00100389129017151,0.00498413213044146,1.64108064487973e-05,0.357369883732074,1.53717355399424
"set1.38","27_U_008_2010","27_1_008",12.7450980392157,6235526952.75,381457.390553,1,412860.856998,12909377902.4,330787.152883,7255104053.08,0.483023039521583,0.859467611646843,4.83069316761827,0.538506509799523,19,144.657,174.241,0.325624609521,0.339743451005,256,0.15254539411758,0.103331926753583,0.0163570973827341,0.000418322285849873,0.224506715367003,1.29876044972156
"set1.39","28_L_004_2010","28_0_004",1.96078431372549,1319190538.88,157925.39685,1,161287.658482,2041736493.24,145755.168401,1426355778.55,0.64611204396244,0.924867805577272,4.3480868771488,0.664681265624874,27,124.432,138.125,0.367517099355,0.343134981241,113,0.0182523559430261,0.0159090967108672,0.0139135407765144,0.000269745041305092,0.304611660916129,0.973489970022382
"set1.40","29_L_025_2010","29_0_025",7.84313725490196,24285560.2195,28706.947994,1,34236.4965916,91160767.6039,27124.1052598,25908630.2686,0.266403638953793,0.937354077298827,5.82522841648697,0.370325779111216,15,27.9544,175.894,0.38723694898,0.378262474233,85,0.000125997222349104,0.00146796514066604,0.0032167720494743,5.79145828948366e-06,0.337553261864616,0.261296417585596
